N,P,K,Temperature,Humidity,pH,Rainfall,Label,Disease_Prone,Common_Disease(Fungal),Common_Disease(Bacterial),Common_Disease(Viral),Salinity_dS_m,Water_Requirement,Disease_Resistance_Score,Nutrient_Deficiency
34,17,69,25.7,74.0,6.82,105.8,Brinjal,No,None,Leaf Spot Wilt,None,2.72,605.5,8.1,None
46,31,16,31.0,79.7,7.44,307.2,Bitter Gourd,No,None,None,None,1.58,408.5,1.3,None
115,45,51,21.1,75.9,6.92,212.3,Oat,No,None,Scab,None,2.67,228.7,1.2,None
48,25,13,21.7,69.7,6.41,184.2,Peas,Yes,Anthracnose,None,None,1.26,369.9,9.1,None
78,56,20,22.5,49.9,6.43,82.1,Wheat,Yes,None,None,None,0.64,517.2,1.8,Potassium
37,23,13,27.2,48.3,6.68,164.6,Linseed,No,None,None,None,0.86,297.5,1.2,Nitrogen
40,33,89,17.6,46.1,6.24,284.7,Onion,No,None,None,None,2.36,215.3,6.7,None
107,48,60,29.1,66.3,5.6,166.0,Chilly,No,Anthracnose,None,None,3.12,313.3,3.3,Potassium
51,55,35,23.3,80.2,6.86,91.5,Bitter Gourd,Yes,None,None,African Cassava Mosaic Virus,2.44,550.4,5.9,Potassium
83,63,81,25.4,74.8,7.14,200.4,Potato,No,Sclerotinia Rots,Leaf Spot Wilt,None,1.9,447.6,5.6,Phosphorus
22,59,46,25.7,43.3,5.58,95.6,Sunflower,Yes,Fusarium Rots,Blackleg,None,0.81,677.3,4.1,Potassium
27,31,57,15.3,81.0,6.13,399.2,Bajra,No,Fusarium Rots,Leaf Spot Wilt,None,2.76,719.0,9.5,None
20,19,24,37.9,88.7,6.17,86.1,Cauliflower,No,None,None,None,3.07,372.4,5.2,Nitrogen
51,44,40,30.4,43.2,5.85,306.0,Barley,No,None,None,None,0.53,658.7,4.2,Nitrogen
44,60,33,37.7,64.3,7.42,272.2,Guar,No,None,None,None,2.85,749.5,1.5,None
98,75,55,23.6,73.1,5.53,328.3,Amaranth,No,Leaf Spot,None,Potato Virus,2.2,777.9,4.4,Phosphorus
93,12,26,27.0,63.8,6.28,151.3,Garlic,No,None,None,None,3.44,754.1,5.2,Phosphorus
37,45,88,33.3,85.1,5.66,345.8,Linseed,Yes,Powdery Mildew,None,Mosaic,0.94,376.6,4.1,Potassium
67,36,51,21.7,37.8,5.99,245.7,Fennel,No,None,Fire Blight,None,1.07,767.4,3.9,None
49,79,89,37.3,79.1,5.56,390.6,Cauliflower,No,None,None,None,2.62,698.3,9.6,Potassium
110,34,71,30.9,33.2,6.49,268.5,Cauliflower,No,None,Stewart's Wilt,None,1.4,190.9,4.4,Potassium
27,41,23,29.4,72.8,6.51,348.9,Ragi,No,None,Tuber Soft Rot,None,2.11,432.4,5.5,Nitrogen
26,33,79,20.0,72.1,6.11,66.2,Wheat,No,None,None,None,3.29,219.3,6.3,Nitrogen
94,12,67,29.4,39.4,6.64,329.8,Soybean,No,None,None,None,2.39,784.8,5.8,Phosphorus
108,22,84,27.6,77.3,7.37,183.6,Castor,No,Fusarium Rots,None,None,2.7,758.9,2.7,Potassium
112,26,72,39.5,35.0,6.95,208.4,Sugarcane,Yes,None,None,None,2.28,104.5,7.3,None
52,38,80,20.0,68.9,7.01,224.5,Onion,Yes,None,None,None,2.35,772.6,5.2,Nitrogen
46,59,55,15.6,81.5,5.7,209.3,Cabbage,Yes,Botrytis Blight,None,None,1.57,698.7,6.4,Nitrogen
74,30,47,30.0,35.1,5.98,372.6,Chilly,No,None,None,None,1.16,665.9,7.6,Nitrogen
32,57,31,33.2,73.7,5.67,153.8,Oat,Yes,Black Spot,None,None,2.33,339.4,6.8,Potassium
40,55,18,36.9,59.3,6.96,153.8,Onion,No,None,None,None,1.64,641.1,6.6,Nitrogen
102,15,83,22.6,89.2,7.01,357.9,Barley,No,None,None,None,1.52,168.4,5.0,Potassium
60,19,10,37.3,43.0,6.69,183.6,Ragi,Yes,None,None,None,3.27,598.8,5.3,Potassium
28,11,75,27.3,59.8,6.04,328.0,Potato,No,None,Wilt,None,3.1,528.8,1.3,Phosphorus
50,37,76,37.7,46.6,6.74,288.0,Coriander,No,None,Rot,None,2.88,393.0,3.8,Nitrogen
63,44,41,31.8,82.0,6.03,288.9,Mustard,Yes,None,None,None,2.51,513.2,1.5,Phosphorus
92,39,50,39.7,46.5,6.45,163.8,Mustard,Yes,Leaf Spot,Bacterial Crown Gall,Tomato Spotted Wilt Virus,0.55,134.4,5.1,Nitrogen
100,38,59,16.9,59.5,7.2,91.8,Cauliflower,No,Black Spot,None,None,1.6,413.2,3.9,None
84,50,14,16.8,53.8,7.23,128.7,Brinjal,No,None,Tuber Soft Rot,None,1.18,456.7,7.7,Potassium
25,30,26,21.9,70.7,7.36,78.2,Brinjal,No,None,None,None,1.09,351.7,3.7,Phosphorus
29,16,53,25.5,54.5,5.76,186.2,Oat,No,Rust,Blackleg,Yellowing,1.05,376.6,4.7,None
101,47,44,35.3,75.6,6.41,274.4,Brinjal,No,None,None,None,2.28,611.2,7.4,None
73,53,68,27.4,88.8,6.88,210.3,Cotton,Yes,None,None,None,3.27,128.2,2.7,Phosphorus
71,30,78,28.6,50.4,6.01,184.8,Tomato,No,None,None,None,2.4,494.4,7.1,Nitrogen
94,50,27,26.2,37.2,5.65,342.5,Potato,No,None,Blackleg,None,2.56,698.8,6.5,Nitrogen
33,46,89,27.3,41.4,6.92,389.6,Soybean,No,None,Tuber Soft Rot,None,1.74,305.3,6.0,None
77,67,48,35.9,52.7,6.26,123.2,Oat,Yes,None,Leaf Spot Wilt,None,0.69,262.0,2.8,None
96,31,83,37.5,64.9,6.89,154.6,Potato,No,None,None,None,2.97,686.2,2.9,None
64,62,66,15.8,67.7,7.11,193.0,Peas,No,None,Citrus Cankers,None,1.36,245.6,5.8,None
30,38,84,24.0,35.4,5.84,177.0,Cotton,No,None,Blackleg,None,1.11,154.3,4.4,Phosphorus
27,60,79,33.2,78.6,7.3,266.8,Cauliflower,No,None,Fire Blight,None,1.79,406.0,3.9,Phosphorus
116,39,31,24.9,73.8,6.06,291.4,Okra,Yes,None,Leaf Spot Wilt,None,1.36,249.2,5.9,Potassium
70,50,16,32.6,83.8,6.39,233.1,Linseed,Yes,None,Bacterial Canker,None,0.8,624.3,7.7,Nitrogen
35,33,58,17.0,52.3,6.02,258.5,Turmeric,No,None,Blackleg,None,1.11,158.2,2.3,None
83,26,51,25.3,82.7,7.24,195.5,Potato,No,None,Aerial Stem Rot,None,1.84,361.5,4.8,Nitrogen
83,77,51,18.7,81.4,6.46,176.7,Peas,Yes,Downy Mildew,Citrus Cankers,None,2.13,711.4,1.6,None
117,74,80,25.1,54.0,7.46,252.2,Cumin,No,Blight,None,None,3.44,245.3,1.9,Phosphorus
82,48,68,22.9,89.9,6.75,156.9,Sugarcane,No,None,None,None,3.14,728.8,2.3,Phosphorus
102,79,48,34.7,45.5,5.6,391.3,Linseed,Yes,None,None,Stunt,2.28,739.8,6.8,Phosphorus
119,15,15,30.0,35.2,5.53,154.6,Turmeric,Yes,Downy Mildew,None,None,0.88,244.1,4.9,Phosphorus
75,46,46,21.4,52.3,7.17,85.8,Paddy,Yes,None,None,None,3.39,476.0,7.8,Nitrogen
29,59,90,15.6,74.7,6.7,292.9,Turmeric,Yes,None,None,Tomato Yellow Leaf Curl Virus,0.65,452.0,3.9,Nitrogen
99,57,82,20.1,40.8,5.68,186.8,Tomato,Yes,Botrytis Blight,None,None,1.88,406.9,7.3,Phosphorus
24,42,43,22.9,53.4,5.76,379.9,Onion,Yes,None,None,None,1.75,157.1,9.8,None
74,68,55,32.9,75.1,6.85,375.0,Onion,No,None,None,None,0.79,430.9,7.0,None
56,43,51,22.1,36.5,7.08,329.9,Castor,Yes,None,None,None,2.01,671.9,6.1,Potassium
91,71,27,31.0,86.0,6.83,88.2,Soybean,No,None,None,None,3.24,193.8,3.5,Phosphorus
22,80,11,22.6,62.1,7.05,111.5,Bitter Gourd,No,None,None,Tomato Spotted Wilt Virus,0.87,704.7,3.8,None
78,15,69,18.4,52.1,5.94,152.8,Onion,Yes,None,Scab,None,2.52,670.4,9.5,Potassium
38,45,58,36.2,81.7,6.02,276.9,Jowar,Yes,None,None,None,2.87,423.4,8.7,Phosphorus
93,43,22,36.0,84.3,6.95,349.8,Potato,No,None,Tuber Soft Rot,None,2.78,752.9,1.6,Nitrogen
57,15,36,27.8,85.9,6.53,184.5,Alfalfa,Yes,None,None,Yellowing,3.49,306.2,7.8,Nitrogen
54,55,27,38.0,75.1,5.64,308.0,Maize,Yes,None,None,None,1.35,667.9,5.5,Phosphorus
64,26,34,28.9,61.8,6.86,129.2,Oat,Yes,None,None,None,1.14,607.7,2.8,Phosphorus
78,37,68,28.3,76.8,5.73,301.1,Brinjal,No,None,None,Brome Mosaic Virus,1.57,642.2,6.8,None
101,70,30,35.7,36.6,7.43,168.4,Amaranth,Yes,Fusarium Rots,None,None,2.61,474.5,5.7,Nitrogen
110,63,70,22.0,31.8,5.97,104.9,Oat,No,Powdery Mildew,None,None,1.42,259.6,2.2,Nitrogen
101,62,33,39.4,52.0,6.33,383.4,Beet,Yes,None,None,None,3.25,489.9,6.3,None
51,13,37,38.2,34.4,5.79,96.7,Ragi,No,None,None,None,1.76,784.7,6.3,Nitrogen
20,39,34,38.2,73.9,7.33,175.8,Onion,No,Sclerotium Rots,None,None,1.94,133.2,2.7,Nitrogen
88,27,62,15.7,35.0,6.01,163.0,Alfalfa,Yes,None,None,None,3.2,716.1,3.4,Phosphorus
99,62,48,37.2,71.2,6.57,162.9,Chilly,Yes,Rust,Fire Blight,None,3.15,259.6,1.7,Nitrogen
